Student Name,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Tamil,English,Maths,Science,Social,Avg Tamil,Avg English,Avg Maths,Avg Science,Avg Social,Max Avg,Max Sub,Outcome
Student 1,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,85,87,81,80,82,83.1,83.9,81.9,82.7,83.2,83.9,English,Arts
Student 2,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,86,82,87,87,82,83.8,83.7,85.2,84.0,81.1,85.2,Maths,Engineering
Student 3,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,86,88,83,85,88,85.2,83.9,83.5,84.1,83.9,85.2,Tamil,BA
Student 4,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,85,85,80,82,80,84.9,84.8,83.5,82.9,84.0,84.9,Tamil,BA
Student 5,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,80,84,86,88,83,83.1,82.9,84.8,84.4,84.3,84.8,Maths,Engineering
Student 6,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,82,88,86,82,86,84.7,83.8,83.8,83.9,82.7,84.7,Tamil,BA
Student 7,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84,82,88,80,86,84.5,84.3,85.0,82.8,85.0,85.0,Maths,Engineering
Student 8,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,87,81,80,87,88,84.7,84.4,83.4,83.9,84.7,84.7,Tamil,BA
Student 9,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,85,88,80,82,87,83.7,83.5,83.5,84.8,84.1,84.8,Science,Medical
Student 10,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,80,86,85,96,81,82.4,84.3,84.7,97.3,83.9,97.3,Science,Medical
Student 11,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,85,83,92,81,86,84.6,84.8,91.5,86.1,83.8,91.5,Maths,Engineering
